team,year,ap_rank,kenpom_rank
North Carolina,2009,1,
Connecticut,2009,2,
Pittsburgh,2009,3,
Memphis,2009,4,
Louisville,2009,5,
Missouri,2009,6,
Oklahoma,2009,7,
Gonzaga,2009,8,
Michigan St.,2009,9,
Duke,2009,10,
West Virginia,2009,11,
UCLA,2009,12,
Villanova,2009,13,
Kansas,2009,14,
Arizona St.,2009,15,
Syracuse,2009,16,
Washington,2009,17,
Purdue,2009,18,
Marquette,2009,19,
Xavier,2009,20,
BYU,2009,21,
Texas,2009,22,
Clemson,2009,23,
Wake Forest,2009,24,
Illinois,2009,25,
Oklahoma St.,2009,26,
USC,2009,27,
Utah,2009,28,
Wisconsin,2009,29,
California,2009,30,
Georgetown,2009,31,
Tennessee,2009,32,
Baylor,2009,33,
Ohio St.,2009,34,
Florida,2009,35,
San Diego St.,2009,36,
Arizona,2009,37,
Butler,2009,38,
Florida St.,2009,39,
Minnesota,2009,40,
Notre Dame,2009,41,
Miami FL,2009,42,
New Mexico,2009,43,
Utah St.,2009,44,
Texas A&M,2009,45,
LSU,2009,46,
Michigan,2009,47,
Kentucky,2009,48,
Washington St.,2009,49,
Temple,2009,50,
Kansas St.,2009,51,
Stanford,2009,52,
UAB,2009,53,
VCU,2009,54,
Maryland,2009,55,
Saint Mary's,2009,56,
Penn St.,2009,57,
Tulsa,2009,58,
Auburn,2009,59,
Illinois St.,2009,60,
North Dakota St.,2009,61,
Rhode Island,2009,62,
Nebraska,2009,63,
Davidson,2009,64,
Northwestern,2009,65,
Cleveland St.,2009,66,
Siena,2009,67,
Creighton,2009,68,
Mississippi St.,2009,69,
Houston,2009,70,
South Carolina,2009,71,
Virginia Tech,2009,72,
UNLV,2009,73,
Boston College,2009,74,
Niagara,2009,75,
Seton Hall,2009,76,
Providence,2009,77,
Dayton,2009,78,
Green Bay,2009,79,
Vanderbilt,2009,80,
N.C. State,2009,81,
UTEP,2009,82,
Northern Iowa,2009,83,
Vermont,2009,84,
Duquesne,2009,85,
Cincinnati,2009,86,
Iowa,2009,87,
Western Kentucky,2009,88,
George Mason,2009,89,
Oral Roberts,2009,90,
Miami OH,2009,91,
Mississippi,2009,92,
Old Dominion,2009,93,
Texas Tech,2009,94,
Akron,2009,95,
Wright St.,2009,96,
Northeastern,2009,97,
Georgia Tech,2009,98,
Saint Joseph's,2009,99,
Alabama,2009,100,
Stephen F. Austin,2009,101,
Oakland,2009,102,
Nevada,2009,103,
Virginia,2009,104,
East Tennessee St.,2009,105,
La Salle,2009,106,
Cornell,2009,107,
Cal St. Northridge,2009,108,
Portland,2009,109,
Pacific,2009,110,
Oregon St.,2009,111,
American,2009,112,
Iowa St.,2009,113,
Richmond,2009,114,
Belmont,2009,115,
Weber St.,2009,116,
Tennessee Martin,2009,117,
Portland St.,2009,118,
Buffalo,2009,119,
Bradley,2009,120,
St. John's,2009,121,
Jacksonville,2009,122,
Sam Houston St.,2009,123,
Kent St.,2009,124,
New Mexico St.,2009,125,
TCU,2009,126,
Arkansas,2009,127,
Evansville,2009,128,
Illinois Chicago,2009,129,
Wyoming,2009,130,
Murray St.,2009,131,
Drexel,2009,132,
James Madison,2009,133,
Wichita St.,2009,134,
UCF,2009,135,
South Florida,2009,136,
Santa Clara,2009,137,
Massachusetts,2009,138,
UT Arlington,2009,139,
Charlotte,2009,140,
Drake,2009,141,
Bowling Green,2009,142,
Saint Louis,2009,143,
Southern Miss,2009,144,
Mount St. Mary's,2009,145,
Robert Morris,2009,146,
College of Charleston,2009,147,
Arkansas Little Rock,2009,148,
Rutgers,2009,149,
Morgan St.,2009,150,
Boise St.,2009,151,
North Texas,2009,152,
Milwaukee,2009,153,
Marshall,2009,154,
Eastern Kentucky,2009,155,
Southern Illinois,2009,156,
Morehead St.,2009,157,
Lipscomb,2009,158,
Oregon,2009,159,
Idaho,2009,160,
Texas A&M Corpus Chris,2009,161,
San Diego,2009,162,
Louisiana Tech,2009,163,
Middle Tennessee,2009,164,
UC Santa Barbara,2009,165,
VMI,2009,166,
Nicholls St.,2009,167,
Long Beach St.,2009,168,
Hofstra,2009,169,
Ohio,2009,170,
Boston University,2009,171,
Montana,2009,172,
Fairfield,2009,173,
Tulane,2009,174,
IUPUI,2009,175,
Radford,2009,176,
Binghamton,2009,177,
Colorado,2009,178,
Rider,2009,179,
South Alabama,2009,180,
Colorado St.,2009,181,
Holy Cross,2009,182,
Troy,2009,183,
Austin Peay,2009,184,
Utah Valley,2009,185,
Sacred Heart,2009,186,
George Washington,2009,187,
St. Bonaventure,2009,188,
UTSA,2009,189,
Stony Brook,2009,190,
Manhattan,2009,191,
San Jose St.,2009,192,
Idaho St.,2009,193,
The Citadel,2009,194,
Iona,2009,195,
Liberty,2009,196,
Missouri St.,2009,197,
Georgia,2009,198,
Southeastern Louisiana,2009,199,
Alabama St.,2009,200,
Cal St. Fullerton,2009,201,
Northern Colorado,2009,202,
Indiana St.,2009,203,
Denver,2009,204,
SMU,2009,205,
DePaul,2009,206,
Fresno St.,2009,207,
Texas St.,2009,208,
Indiana,2009,209,
Lamar,2009,210,
Delaware,2009,211,
South Dakota St.,2009,212,
Chattanooga,2009,213,
Hawaii,2009,214,
East Carolina,2009,215,
IPFW,2009,216,
UC Irvine,2009,217,
Mercer,2009,218,
UC Riverside,2009,219,
UC Davis,2009,220,
Loyola MD,2009,221,
Wofford,2009,222,
Youngstown St.,2009,223,
Navy,2009,224,
Arkansas St.,2009,225,
Valparaiso,2009,226,
Southern Utah,2009,227,
Georgia St.,2009,228,
Loyola Chicago,2009,229,
Air Force,2009,230,
McNeese St.,2009,231,
Gardner Webb,2009,232,
Chicago St.,2009,233,
William & Mary,2009,234,
Rice,2009,235,
Montana St.,2009,236,
Canisius,2009,237,
Tennessee Tech,2009,238,
Northern Arizona,2009,239,
Ball St.,2009,240,
Western Carolina,2009,241,
Campbell,2009,242,
LIU Brooklyn,2009,243,
San Francisco,2009,244,
Yale,2009,245,
Albany,2009,246,
Jackson St.,2009,247,
Western Michigan,2009,248,
Centenary,2009,249,
Samford,2009,250,
Marist,2009,251,
Central Michigan,2009,252,
Eastern Washington,2009,253,
Harvard,2009,254,
Presbyterian,2009,255,
Jacksonville St.,2009,256,
Stetson,2009,257,
Towson,2009,258,
Louisiana Lafayette,2009,259,
Appalachian St.,2009,260,
New Hampshire,2009,261,
UMBC,2009,262,
UNC Asheville,2009,263,
Princeton,2009,264,
Lehigh,2009,265,
FIU,2009,266,
Coppin St.,2009,267,
Eastern Illinois,2009,268,
Cal Poly,2009,269,
Detroit,2009,270,
Saint Peter's,2009,271,
Cal St. Bakersfield,2009,272,
Penn,2009,273,
Tennessee St.,2009,274,
Hampton,2009,275,
South Carolina St.,2009,276,
Wagner,2009,277,
Winthrop,2009,278,
Quinnipiac,2009,279,
Columbia,2009,280,
UMKC,2009,281,
New Orleans,2009,282,
USC Upstate,2009,283,
Coastal Carolina,2009,284,
Florida Atlantic,2009,285,
Prairie View A&M,2009,286,
Bethune Cookman,2009,287,
Central Connecticut,2009,288,
Northern Illinois,2009,289,
Army,2009,290,
Elon,2009,291,
Louisiana Monroe,2009,292,
Bucknell,2009,293,
Pepperdine,2009,294,
Florida Gulf Coast,2009,295,
Maine,2009,296,
Western Illinois,2009,297,
Toledo,2009,298,
North Carolina A&T,2009,299,
SIU Edwardsville,2009,300,
St. Francis NY,2009,301,
Arkansas Pine Bluff,2009,302,
Brown,2009,303,
Norfolk St.,2009,304,
UNC Wilmington,2009,305,
High Point,2009,306,
Georgia Southern,2009,307,
Eastern Michigan,2009,308,
Colgate,2009,309,
Charleston Southern,2009,310,
Longwood,2009,311,
Savannah St.,2009,312,
Hartford,2009,313,
Dartmouth,2009,314,
Northwestern St.,2009,315,
Delaware St.,2009,316,
Lafayette,2009,317,
Central Arkansas,2009,318,
Houston Baptist,2009,319,
Texas Southern,2009,320,
Fordham,2009,321,
Texas Pan American,2009,322,
Loyola Marymount,2009,323,
UNC Greensboro,2009,324,
Mississippi Valley St.,2009,325,
Monmouth,2009,326,
Furman,2009,327,
St. Francis PA,2009,328,
Howard,2009,329,
Florida A&M,2009,330,
Southern,2009,331,
North Florida,2009,332,
Bryant,2009,333,
Alabama A&M,2009,334,
Fairleigh Dickinson,2009,335,
Southeast Missouri St.,2009,336,
Kennesaw St.,2009,337,
Winston Salem St.,2009,338,
Sacramento St.,2009,339,
Alcorn St.,2009,340,
Grambling St.,2009,341,
Maryland Eastern Shore,2009,342,
North Carolina Central,2009,343,
NJIT,2009,344,
Virginia,2022,1,
Gonzaga,2022,2,
Michigan St.,2022,3,
Duke,2022,4,
Texas Tech,2022,5,
Michigan,2022,6,
North Carolina,2022,7,
Kentucky,2022,8,
Purdue,2022,9,
Tennessee,2022,10,
Auburn,2022,11,
Houston,2022,12,
Virginia Tech,2022,13,
Florida St.,2022,14,
Iowa St.,2022,15,
Wisconsin,2022,16,
Kansas,2022,17,
Wofford,2022,18,
LSU,2022,19,
Kansas St.,2022,20,
Mississippi St.,2022,21,
Buffalo,2022,22,
Louisville,2022,23,
Maryland,2022,24,
Texas,2022,25,
Florida,2022,26,
Nevada,2022,27,
Oregon,2022,28,
Cincinnati,2022,29,
Villanova,2022,30,
Saint Mary's,2022,31,
Oklahoma,2022,32,
Marquette,2022,33,
UCF,2022,34,
Baylor,2022,35,
Clemson,2022,36,
Iowa,2022,37,
Utah St.,2022,38,
Syracuse,2022,39,
TCU,2022,40,
N.C. State,2022,41,
VCU,2022,42,
Penn St.,2022,43,
Ohio St.,2022,44,
Lipscomb,2022,45,
Minnesota,2022,46,
Nebraska,2022,47,
Washington,2022,48,
Belmont,2022,49,
Mississippi,2022,50,
Murray St.,2022,51,
Indiana,2022,52,
New Mexico St.,2022,53,
Arkansas,2022,54,
Creighton,2022,55,
Memphis,2022,56,
Arizona St.,2022,57,
Liberty,2022,58,
Furman,2022,59,
Seton Hall,2022,60,
Toledo,2022,61,
Dayton,2022,62,
Colorado,2022,63,
Alabama,2022,64,
Xavier,2022,65,
Wichita St.,2022,66,
San Francisco,2022,67,
Missouri,2022,68,
Temple,2022,69,
South Carolina,2022,70,
Fresno St.,2022,71,
Butler,2022,72,
UC Irvine,2022,73,
Northwestern,2022,74,
Miami FL,2022,75,
Vermont,2022,76,
Yale,2022,77,
Rutgers,2022,78,
Providence,2022,79,
East Tennessee St.,2022,80,
Oregon St.,2022,81,
USC,2022,82,
Oklahoma St.,2022,83,
Illinois,2022,84,
Davidson,2022,85,
BYU,2022,86,
UNC Greensboro,2022,87,
St. John's,2022,88,
Northeastern,2022,89,
San Diego,2022,90,
Texas A&M,2022,91,
South Dakota St.,2022,92,
Hofstra,2022,93,
Arizona,2022,94,
West Virginia,2022,95,
Northern Kentucky,2022,96,
Notre Dame,2022,97,
Connecticut,2022,98,
South Florida,2022,99,
Georgetown,2022,100,
Pittsburgh,2022,101,
UCLA,2022,102,
Georgia Southern,2022,103,
Utah Valley,2022,104,
Bowling Green,2022,105,
Saint Louis,2022,106,
SMU,2022,107,
Akron,2022,108,
Utah,2022,109,
Jacksonville St.,2022,110,
Grand Canyon,2022,111,
Stanford,2022,112,
Old Dominion,2022,113,
Harvard,2022,114,
Georgia Tech,2022,115,
Western Kentucky,2022,116,
Wright St.,2022,117,
DePaul,2022,118,
Tulsa,2022,119,
Southern Miss,2022,120,
St. Bonaventure,2022,121,
Radford,2022,122,
Charleston,2022,123,
Georgia St.,2022,124,
San Diego St.,2022,125,
Colgate,2022,126,
Boston College,2022,127,
Austin Peay,2022,128,
Central Michigan,2022,129,
Penn,2022,130,
Loyola Chicago,2022,131,
Georgia,2022,132,
Ball St.,2022,133,
Loyola Marymount,2022,134,
Drake,2022,135,
Northern Illinois,2022,136,
Montana,2022,137,
Texas St.,2022,138,
Boise St.,2022,139,
Louisiana Monroe,2022,140,
Louisiana Tech,2022,141,
Rhode Island,2022,142,
Kent St.,2022,143,
Samford,2022,144,
Bucknell,2022,145,
Southern Illinois,2022,146,
UAB,2022,147,
Miami OH,2022,148,
UTSA,2022,149,
UT Arlington,2022,150,
Pepperdine,2022,151,
Abilene Christian,2022,152,
Brown,2022,153,
Coastal Carolina,2022,154,
Vanderbilt,2022,155,
George Mason,2022,156,
Marshall,2022,157,
North Texas,2022,158,
Eastern Michigan,2022,159,
Charleston Southern,2022,160,
Bradley,2022,161,
Florida Atlantic,2022,162,
Gardner Webb,2022,163,
Nebraska Omaha,2022,164,
UNLV,2022,165,
Stony Brook,2022,166,
North Florida,2022,167,
Winthrop,2022,168,
Lehigh,2022,169,
Hampton,2022,170,
Missouri St.,2022,171,
UC Santa Barbara,2022,172,
Duquesne,2022,173,
Wake Forest,2022,174,
Princeton,2022,175,
Sam Houston St.,2022,176,
Northern Iowa,2022,177,
Louisiana,2022,178,
Presbyterian,2022,179,
Colorado St.,2022,180,
Campbell,2022,181,
UT Rio Grande Valley,2022,182,
NJIT,2022,183,
Ohio,2022,184,
Green Bay,2022,185,
Santa Clara,2022,186,
Oakland,2022,187,
New Mexico,2022,188,
Saint Joseph's,2022,189,
Seattle,2022,190,
IUPUI,2022,191,
Purdue Fort Wayne,2022,192,
Northern Colorado,2022,193,
Hartford,2022,194,
Texas Southern,2022,195,
Illinois Chicago,2022,196,
Cal Baptist,2022,197,
Iona,2022,198,
Mercer,2022,199,
American,2022,200,
Hawaii,2022,201,
North Dakota St.,2022,202,
Richmond,2022,203,
FIU,2022,204,
Illinois St.,2022,205,
Appalachian St.,2022,206,
Washington St.,2022,207,
Indiana St.,2022,208,
Prairie View A&M,2022,209,
Cal St. Fullerton,2022,210,
Fairleigh Dickinson,2022,211,
Rider,2022,212,
Florida Gulf Coast,2022,213,
South Alabama,2022,214,
Columbia,2022,215,
Pacific,2022,216,
Lamar,2022,217,
Dartmouth,2022,218,
William & Mary,2022,219,
Valparaiso,2022,220,
Cornell,2022,221,
Little Rock,2022,222,
High Point,2022,223,
Weber St.,2022,224,
Long Beach St.,2022,225,
Cal St. Bakersfield,2022,226,
Evansville,2022,227,
La Salle,2022,228,
South Dakota,2022,229,
UMBC,2022,230,
Boston University,2022,231,
Southeastern Louisiana,2022,232,
Detroit,2022,233,
Quinnipiac,2022,234,
Eastern Kentucky,2022,235,
Massachusetts,2022,236,
Eastern Washington,2022,237,
UMKC,2022,238,
Holy Cross,2022,239,
Sacred Heart,2022,240,
California,2022,241,
Army,2022,242,
Air Force,2022,243,
Norfolk St.,2022,244,
Morehead St.,2022,245,
Middle Tennessee,2022,246,
Jacksonville,2022,247,
Rice,2022,248,
Troy,2022,249,
Montana St.,2022,250,
Drexel,2022,251,
UC Davis,2022,252,
Cal St. Northridge,2022,253,
Arkansas St.,2022,254,
Western Michigan,2022,255,
Longwood,2022,256,
The Citadel,2022,257,
UMass Lowell,2022,258,
Youngstown St.,2022,259,
Fordham,2022,260,
St. Francis PA,2022,261,
New Orleans,2022,262,
LIU Brooklyn,2022,263,
East Carolina,2022,264,
Delaware,2022,265,
Chattanooga,2022,266,
Siena,2022,267,
Grambling St.,2022,268,
Robert Morris,2022,269,
Loyola MD,2022,270,
North Dakota,2022,271,
UNC Wilmington,2022,272,
Southern Utah,2022,273,
Sacramento St.,2022,274,
St. Francis NY,2022,275,
Marist,2022,276,
Western Carolina,2022,277,
Cleveland St.,2022,278,
Albany,2022,279,
Navy,2022,280,
Houston Baptist,2022,281,
Canisius,2022,282,
Tulane,2022,283,
North Alabama,2022,284,
James Madison,2022,285,
Portland St.,2022,286,
Texas A&M Corpus Chris,2022,287,
VMI,2022,288,
Tennessee Martin,2022,289,
Oral Roberts,2022,290,
Towson,2022,291,
Tennessee St.,2022,292,
George Washington,2022,293,
Western Illinois,2022,294,
Monmouth,2022,295,
Milwaukee,2022,296,
Charlotte,2022,297,
Lafayette,2022,298,
UTEP,2022,299,
North Carolina A&T,2022,300,
Fairfield,2022,301,
Central Arkansas,2022,302,
North Carolina Central,2022,303,
Northern Arizona,2022,304,
Howard,2022,305,
Bethune Cookman,2022,306,
Eastern Illinois,2022,307,
Southeast Missouri St.,2022,308,
Elon,2022,309,
Nicholls St.,2022,310,
Stephen F. Austin,2022,311,
Denver,2022,312,
Arkansas Pine Bluff,2022,313,
Wagner,2022,314,
Niagara,2022,315,
Saint Peter's,2022,316,
Wyoming,2022,317,
Florida A&M,2022,318,
Jackson St.,2022,319,
Tennessee Tech,2022,320,
Central Connecticut,2022,321,
UC Riverside,2022,322,
Manhattan,2022,323,
Mount St. Mary's,2022,324,
Stetson,2022,325,
Portland,2022,326,
Bryant,2022,327,
Alabama St.,2022,328,
Idaho St.,2022,329,
SIU Edwardsville,2022,330,
McNeese St.,2022,331,
Binghamton,2022,332,
Morgan St.,2022,333,
Cal Poly,2022,334,
Southern,2022,335,
USC Upstate,2022,336,
South Carolina St.,2022,337,
Maine,2022,338,
Kennesaw St.,2022,339,
Savannah St.,2022,340,
Northwestern St.,2022,341,
Coppin St.,2022,342,
San Jose St.,2022,343,
Alabama A&M,2022,344,
New Hampshire,2022,345,
Incarnate Word,2022,346,
UNC Asheville,2022,347,
Idaho,2022,348,
Alcorn St.,2022,349,
Mississippi Valley St.,2022,350,
Chicago St.,2022,351,
Delaware St.,2022,352,
Maryland Eastern Shore,2022,353,
